AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Temperature
-0.077, -0.886, 10.171, -0.488, 0.488, 0.061, 27.370
-0.062, -0.891, 10.190, -0.488, 0.488, 0.061, 27.399
-0.067, -0.881, 10.180, -0.488, 0.488, 0.061, 27.364
-0.057, -0.905, 10.180, -0.488, 0.488, 0.061, 27.376
-0.062, -0.886, 10.157, -0.488, 0.488, 0.061, 27.325
-0.053, -0.891, 10.166, -0.488, 0.488, 0.061, 27.299
-0.067, -0.900, 10.166, -0.488, 0.488, 0.061, 27.301
-0.053, -0.872, 10.180, -0.488, 0.488, 0.061, 27.380
-0.067, -0.876, 10.157, -0.488, 0.488, 0.061, 27.340
-0.081, -0.867, 10.171, -0.488, 0.488, 0.061, 27.356
-0.053, -0.891, 10.166, -0.488, 0.488, 0.061, 27.331
-0.053, -0.895, 10.161, -0.488, 0.488, 0.061, 27.335
-0.077, -0.910, 10.214, -0.488, 0.488, 0.061, 27.333
-0.072, -0.891, 10.152, -0.427, 0.488, 0.061, 27.285
-0.077, -0.915, 10.166, -0.488, 0.488, 0.061, 27.319
-0.077, -0.895, 10.176, -0.488, 0.488, 0.061, 27.305
-0.067, -0.915, 10.161, -0.488, 0.488, 0.061, 27.272
-0.067, -0.872, 10.152, -0.488, 0.488, 0.061, 27.325
-0.062, -0.905, 10.185, -0.488, 0.488, 0.061, 27.333
-0.067, -0.881, 10.166, -0.488, 0.488, 0.061, 27.313
-0.072, -0.872, 10.152, -0.488, 0.488, 0.061, 27.321
-0.081, -0.876, 10.195, -0.488, 0.488, 0.061, 27.303
-0.067, -0.891, 10.200, -0.488, 0.488, 0.061, 27.325
-0.057, -0.881, 10.171, -0.488, 0.488, 0.061, 27.327
-0.096, -0.876, 10.176, -0.488, 0.488, 0.061, 27.293
-0.062, -0.900, 10.161, -0.488, 0.488, 0.061, 27.299
-0.072, -0.891, 10.195, -0.488, 0.488, 0.061, 27.319
-0.057, -0.910, 10.180, -0.488, 0.488, 0.061, 27.325
-0.072, -0.900, 10.180, -0.488, 0.488, 0.061, 27.281
-0.067, -0.886, 10.190, -0.488, 0.488, 0.061, 27.301
-0.057, -0.891, 10.180, -0.488, 0.488, 0.061, 27.309
-0.072, -0.881, 10.195, -0.488, 0.427, 0.061, 27.311
-0.062, -0.891, 10.190, -0.488, 0.488, 0.061, 27.313
-0.086, -0.891, 10.166, -0.427, 0.488, 0.061, 27.350
-0.067, -0.886, 10.161, -0.488, 0.488, 0.061, 27.340
-0.067, -0.891, 10.176, -0.488, 0.488, 0.122, 27.325
-0.043, -0.876, 10.190, -0.488, 0.488, 0.061, 27.340
-0.081, -0.900, 10.161, -0.488, 0.488, 0.061, 27.289
-0.053, -0.891, 10.180, -0.488, 0.488, 0.061, 27.268
-0.067, -0.895, 10.176, -0.488, 0.488, 0.061, 27.262
-0.077, -0.857, 10.176, -0.488, 0.488, 0.061, 27.317
-0.057, -0.905, 10.157, -0.488, 0.488, 0.061, 27.313
-0.072, -0.900, 10.204, -0.488, 0.488, 0.061, 27.342
-0.091, -0.905, 10.166, -0.488, 0.488, 0.061, 27.258
-0.057, -0.900, 10.200, -0.488, 0.488, 0.061, 27.305
-0.072, -0.881, 10.185, -0.488, 0.488, 0.061, 27.313
-0.081, -0.886, 10.195, -0.488, 0.488, 0.061, 27.333
-0.072, -0.891, 10.171, -0.488, 0.488, 0.061, 27.277
-0.057, -0.891, 10.176, -0.488, 0.488, 0.061, 27.277
-0.053, -0.862, 10.176, -0.488, 0.488, 0.061, 27.315
-0.077, -0.881, 10.171, -0.488, 0.488, 0.061, 27.315
-0.053, -0.872, 10.171, -0.488, 0.488, 0.061, 27.311
-0.067, -0.891, 10.166, -0.427, 0.427, 0.061, 27.287
-0.072, -0.895, 10.166, -0.488, 0.488, 0.061, 27.289
-0.067, -0.895, 10.176, -0.488, 0.488, 0.061, 27.313
-0.057, -0.886, 10.166, -0.488, 0.488, 0.061, 27.321
-0.077, -0.900, 10.161, -0.488, 0.427, 0.061, 27.325
-0.067, -0.900, 10.166, -0.488, 0.488, 0.061, 27.335
-0.067, -0.895, 10.185, -0.488, 0.488, 0.061, 27.285
-0.067, -0.891, 10.190, -0.488, 0.488, 0.061, 27.327
-0.067, -0.895, 10.195, -0.488, 0.488, 0.061, 27.293
-0.091, -0.895, 10.180, -0.488, 0.488, 0.061, 27.333
-0.072, -0.876, 10.176, -0.488, 0.488, 0.061, 27.281
-0.062, -0.891, 10.171, -0.488, 0.488, 0.061, 27.293
-0.072, -0.867, 10.185, -0.427, 0.488, 0.061, 27.301
-0.086, -0.886, 10.190, -0.488, 0.488, 0.061, 27.277
-0.077, -0.900, 10.166, -0.488, 0.488, 0.061, 27.293
-0.067, -0.876, 10.171, -0.488, 0.488, 0.061, 27.295
-0.081, -0.895, 10.200, -0.488, 0.488, 0.061, 27.293
-0.067, -0.891, 10.166, -0.488, 0.488, 0.061, 27.279
-0.067, -0.891, 10.161, -0.488, 0.488, 0.061, 27.285
-0.043, -0.881, 10.195, -0.488, 0.488, 0.061, 27.275
-0.067, -0.900, 10.166, -0.488, 0.488, 0.061, 27.323
-0.053, -0.895, 10.147, -0.427, 0.488, 0.061, 27.295
-0.057, -0.895, 10.176, -0.488, 0.488, 0.061, 27.281
-0.072, -0.867, 10.166, -0.427, 0.488, 0.061, 27.317
-0.081, -0.876, 10.185, -0.488, 0.488, 0.122, 27.234
-0.072, -0.895, 10.166, -0.488, 0.488, 0.061, 27.309
